IATA,Lat,Lon,Country,Continent
EDD,-25.2057991,133.25399779999998,Australia,Oceania
EDF,61.25099945,-149.8070068,United States,North America
EDI,55.95000076,-3.3724999430000002,United Kingdom,Europe
EDL,0.404457986,35.23889923,Kenya,Africa
EDM,46.70190048,-1.378630042,France,Europe
EDO,39.55459976,27.01379967,Turkey,Asia
EDR,-14.896451,141.60908,Australia,Oceania
EDW,34.905398999999996,-117.884003,United States,North America
EED,34.7663002,-114.6230011,United States,North America
EEK,60.21367264,-162.0438843,United States,North America
EEN,42.89839935,-72.27079773,United States,North America
EFD,29.607299800000003,-95.15879822,United States,North America
EFG,-9.153805556,147.6598056,Papua New Guinea,Oceania
EFL,38.12009811,20.50049973,Greece,Europe
EGC,44.82529831,0.518611014,France,Europe
EGE,39.64260101,-106.9179993,United States,North America
EGH,31.068559000000004,34.129629,Egypt,Africa
EGI,30.65040016,-86.52290344,United States,North America
EGM,-8.578889847000001,157.8760071,Solomon Islands,Oceania
EGN,13.48169994,22.46719933,Sudan,Africa
EGO,50.64379883,36.59009933,Russia,Europe
EGS,65.28330231,-14.40139961,Iceland,Europe
EGV,45.93230057,-89.26830292,United States,North America
EGX,58.1855011,-157.375,United States,North America
EHL,-41.94319916,-71.53230286,Argentina,South America
EHM,58.64640045,-162.06300349999998,United States,North America
EIB,50.991603999999995,10.47973,Germany,Europe
EIE,58.474201199999996,92.11250305,Russia,Europe
EIK,46.68,38.21,Russia,Europe
EIL,64.66570282,-147.102005,United States,North America
EIN,51.45009995,5.374529839,Netherlands,Europe
EIS,18.44479942,-64.54299927,British Virgin Islands,North America
EIY,30.62170029,35.20330048,Israel,Asia
EJA,7.02433,-73.8068,Colombia,South America
EJH,26.19860077,36.47639847,Saudi Arabia,Asia
EJN,42.0155,101.0005,China,Asia
EKA,40.80339813,-124.112999,United States,North America
EKB,51.5909996,75.21499634,Kazakhstan,Asia
EKI,41.7193985,-86.00319672,United States,North America
EKN,38.88940048,-79.85710144,United States,North America
EKO,40.82490158,-115.79199979999999,United States,North America
EKS,49.1903,142.082993,Russia,Europe
EKT,59.35110092,16.70840073,Sweden,Europe
ELB,9.045539999999999,-73.9749,Colombia,South America
ELC,-12.01939964,135.5709991,Australia,Oceania
ELD,33.22100067,-92.81330109,United States,North America
ELF,13.61489964,25.32460022,Sudan,Africa
ELG,30.57130051,2.859590054,Algeria,Africa
ELH,25.47489929,-76.6835022,Bahamas,North America
ELI,64.61470032,-162.2720032,United States,North America
ELM,42.15990067,-76.89160156,United States,North America
ELO,-26.39749908,-54.57469939999999,Argentina,South America
ELP,31.80719948,-106.37799840000002,United States,North America
ELQ,26.30279922,43.77439879999999,Saudi Arabia,Asia
ELS,-33.03559875,27.82589912,South Africa,Africa
ELT,28.20899963,33.64550018,Egypt,Africa
ELU,33.51139832,6.776790142,Algeria,Africa
ELV,58.19520187,-136.3470001,United States,North America
ELY,39.29970169,-114.84200290000001,United States,North America
EMA,52.83110046,-1.328060031,United Kingdom,Europe
EMD,-23.56749916,148.1790009,Australia,Oceania
EME,53.391109,7.2275,Germany,Europe
EMK,62.78609848,-164.49099730000003,United States,North America
EML,47.092444,8.305183999999999,Switzerland,Europe
EMN,16.62199974,-7.316599846,Mauritania,Africa
EMP,38.33209991,-96.19120026,Germany,Europe
EMT,34.086102000000004,-118.035004,United States,North America
ENA,60.57310104,-151.24499509999998,United States,North America
ENC,48.69210052,6.230460167,France,Europe
END,36.33919907,-97.91649628,United States,North America
ENE,-8.849289894,121.6610031,Indonesia,Asia
ENF,68.36260223,23.42429924,Finland,Europe
ENH,30.32029915,109.4850006,China,Asia
ENK,54.39889908,-7.651669978999999,United Kingdom,Europe
ENN,64.54730225,-149.0740051,United States,North America
ENO,-27.227365999999996,-55.837495,Paraguay,South America
ENS,52.275833,6.889167,Netherlands,Europe
ENT,11.34070015,162.3280029,Marshall Islands,Oceania
ENU,6.474269867,7.56196022,Nigeria,Africa
ENV,40.71870041,-114.03099820000001,United States,North America
ENW,42.59569931,-87.92780304,United States,North America
ENY,36.636902,109.554001,China,Asia
EOH,6.220549,-75.590582,Colombia,South America
EOI,59.19060135,-2.772219896,United Kingdom,Europe
EOK,40.4598999,-91.42849731,United States,North America
EOR,6.733333111,-61.58333206,Venezuela,South America
EOZ,7.083333015,-69.53333282,Venezuela,South America
EPA,-34.6099,-58.6126,Argentina,South America
EPL,48.325001,6.06998,France,Europe
EPR,-33.684399,121.822998,Australia,Oceania
EPU,58.41899872,24.472799300000002,Estonia,Europe
EQS,-42.90800095,-71.13950348,Argentina,South America
ERC,39.71020126,39.52700043,Turkey,Asia
ERD,46.81499863,36.758098600000004,Ukraine,Europe
ERF,50.97980118,10.95810032,Germany,Europe
ERG,61.27500153,108.02999879999999,Russia,Europe
ERH,31.94750023,-4.398330212,Morocco,Africa
ERI,42.08312701,-80.17386675,United States,North America
ERL,43.4225,112.096667,China,Asia
ERM,-27.66189957,-52.26829910000001,Brazil,South America
ERN,-6.639530182000001,-69.87979889,Brazil,South America
ERS,-22.61219978,17.08040047,Namibia,Africa
ERV,29.97669983,-99.08570099,United States,North America
ERZ,39.95650101,41.17020035,Turkey,Asia
ESB,40.12810135,32.99509811,Turkey,Asia
ESC,45.72269821,-87.09369659,United States,North America
ESD,48.70819855,-122.9100037,United States,North America
ESE,31.7953,-116.602997,Mexico,North America
ESF,31.39489937,-92.29579926,United States,North America
ESG,-22.04999924,-60.61999893,Paraguay,South America
ESH,50.835602,-0.297222,United Kingdom,Europe
ESK,39.78409958,30.58209991,Turkey,Asia
ESL,46.37390137,44.33089828,Russia,Europe
